Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Chlamydia trachomatis infection, Cum 2016","Chlamydia trachomatis infection, Cum 2016, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag","Coccidioidomycosis, Cum 2016","Coccidioidomycosis, Cum 2016, flag",Location 1,Location 2
MICHIGAN,2017,13,223,,867,,1123,,8014,,11408,,,-,0,,3,,4,,11,,"MICHIGAN
(44.66399, -84.711206)",
INDIANA,2017,13,331,,596,,763,,7895,,8032,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
CALIFORNIA,2017,13,1827,,3829,,4381,,46683,,50217,,3,,80,,227,,500,,893,,"CALIFORNIA
(37.640735, -121.002435)",
TEXAS,2017,13,2458,,2845,,4049,,37989,,36433,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
ARIZONA,2017,13,538,,653,,1086,,7616,,7934,,97,,116,,157,,1422,,1648,,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2017,13,693,,583,,789,,7838,,7719,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH CAROLINA,2017,13,4,,1084,,1237,,6316,,14506,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
CONNECTICUT,2017,13,,-,252,,459,,1543,,3204,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2017,13,433,,574,,818,,6364,,8021,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NEW YORK,2017,13,921,,822,,1972,,10292,,9710,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
DIST. OF COL.,2017,13,,-,143,,294,,673,,2069,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WEST VIRGINIA,2017,13,36,,90,,128,,962,,1247,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
DELAWARE,2017,13,127,,102,,197,,1416,,1290,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
MASSACHUSETTS,2017,13,320,,525,,611,,6661,,6828,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
LOUISIANA,2017,13,785,,659,,1983,,9536,,6481,,,-,0,,3,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2017,13,78,,279,,339,,2941,,4156,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
RHODE ISLAND,2017,13,86,,67,,493,,591,,,-,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGIN ISL.,2017,13,,-,8,,28,,46,,167,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALABAMA,2017,13,340,,518,,735,,6157,,6651,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
VERMONT,2017,13,2,,24,,97,,293,,496,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
NEVADA,2017,13,6,,213,,332,,2672,,2556,,,-,1,,5,,27,,20,,"NEVADA
(39.491833, -117.070159)",
KENTUCKY,2017,13,,-,390,,714,,4204,,2631,,,-,0,,1,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
MAINE,2017,13,59,,81,,157,,1178,,966,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
OHIO,2017,13,51,,1156,,1275,,11243,,15717,,,-,0,,4,,5,,4,,"OHIO
(40.056807, -82.405897)",
MISSISSIPPI,2017,13,455,,338,,709,,2721,,4961,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
FLORIDA,2017,13,1028,,1786,,2767,,21780,,22542,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
ALASKA,2017,13,,-,102,,142,,,-,1401,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
COLORADO,2017,13,,-,488,,1192,,5557,,5843,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2017,13,101,,264,,508,,2331,,3639,,,-,0,,1,,1,,,-,"ARKANSAS
(34.748745, -92.275105)",
NORTH DAKOTA,2017,13,,-,57,,93,,476,,942,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2017,13,270,,1107,,2004,,19916,,14767,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,13,214,,588,,750,,6710,,7706,,,-,0,,2,,3,,4,,"MISSOURI
(38.636168, -92.566292)",
IDAHO,2017,13,,-,104,,164,,821,,1702,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
WYOMING,2017,13,24,,34,,55,,381,,545,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW MEXICO,2017,13,60,,241,,400,,2843,,3354,,,-,0,,2,,,-,8,,"NEW MEXICO
(34.520396, -106.244402)",
HAWAII,2017,13,,-,132,,178,,1222,,1600,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
MONTANA,2017,13,,-,82,,158,,1106,,1214,,,-,0,,2,,2,,3,,"MONTANA
(47.062617, -109.430168)",
OREGON,2017,13,346,,334,,440,,4546,,4074,,,-,0,,2,,3,,4,,"OREGON
(44.567912, -120.156945)",
C.N.M.I.,2017,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW HAMPSHIRE,2017,13,27,,98,,218,,1741,,1681,,,-,0,,1,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2017,13,130,,638,,843,,6202,,8101,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
MARYLAND,2017,13,551,,589,,1336,,5217,,6217,,,-,0,,2,,1,,2,,"MARYLAND
(39.290443, -76.612333)",
VIRGINIA,2017,13,,-,266,,1319,,,-,8365,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
UNITED STATES,2017,14,15810,,30019,,32552,,362539,,420661,,125,,206,,368,,2145,,2803,,,
NEW ENGLAND,2017,14,91,,1037,,1428,,12588,,14208,,,-,0,,1,,,-,1,,,
MID. ATLANTIC,2017,14,2814,,3894,,5086,,59870,,54084,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,14,860,,1316,,1584,,19022,,18263,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,14,1400,,4458,,5177,,49209,,64978,,,-,1,,7,,10,,26,,,
W.N. CENTRAL,2017,14,437,,1817,,2068,,20539,,25826,,,-,2,,8,,7,,23,,,
S. ATLANTIC,2017,14,1978,,5682,,7237,,49891,,84368,,,-,0,,2,,1,,3,,,
E.S. CENTRAL,2017,14,1045,,1893,,2486,,22897,,24360,,,-,0,,1,,1,,,-,,
W.S. CENTRAL,2017,14,3918,,3975,,5433,,57438,,54509,,,-,0,,3,,1,,4,,,
MOUNTAIN,2017,14,1403,,2004,,2637,,25927,,27549,,112,,116,,159,,1551,,1796,,,
PACIFIC,2017,14,2724,,4992,,5724,,64180,,70779,,13,,81,,228,,574,,950,,,
AMER. SAMOA,2017,14,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
IDAHO,2017,14,,-,105,,164,,1053,,1793,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NORTH CAROLINA,2017,14,,-,1087,,1238,,7041,,15619,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
FLORIDA,2017,14,850,,1785,,2768,,23644,,24536,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2017,14,159,,215,,335,,3297,,2744,,,-,2,,5,,34,,21,,"NEVADA
(39.491833, -117.070159)",
SOUTH DAKOTA,2017,14,,-,78,,104,,652,,1257,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
CONNECTICUT,2017,14,6,,255,,459,,1934,,3418,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
CALIFORNIA,2017,14,1929,,3846,,4384,,50852,,54030,,13,,80,,228,,571,,946,,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2017,14,,-,101,,142,,53,,1518,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
C.N.M.I.,2017,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WISCONSIN,2017,14,243,,496,,627,,6405,,7257,,,-,0,,2,,,-,6,,"WISCONSIN
(44.395526, -89.834513)",
MICHIGAN,2017,14,223,,867,,1123,,8952,,12369,,,-,0,,3,,5,,12,,"MICHIGAN
(44.66399, -84.711206)",
NORTH DAKOTA,2017,14,2,,61,,93,,536,,1036,,,-,0,,1,,1,,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGINIA,2017,14,,-,47,,1319,,,-,9187,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
PUERTO RICO,2017,14,179,,131,,481,,2094,,1321,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
ARIZONA,2017,14,570,,653,,1087,,8265,,8640,,112,,114,,155,,1508,,1757,,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2017,14,528,,583,,789,,8381,,8219,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEBRASKA,2017,14,88,,155,,274,,2144,,2256,,,-,0,,1,,2,,3,,"NEBRASKA
(41.640503, -99.367122)",
OHIO,2017,14,544,,1168,,1275,,14826,,16957,,,-,0,,4,,5,,8,,"OHIO
(40.056807, -82.405897)",
COLORADO,2017,14,476,,484,,1192,,6025,,6268,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
MASSACHUSETTS,2017,14,,-,525,,611,,6661,,7313,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
UTAH,2017,14,113,,183,,232,,2731,,2666,,,-,1,,3,,7,,7,,"UTAH
(39.359772, -111.584173)",
MISSOURI,2017,14,230,,589,,750,,7294,,8343,,,-,0,,2,,4,,4,,"MISSOURI
(38.636168, -92.566292)",
MARYLAND,2017,14,,-,568,,1336,,5217,,6838,,,-,0,,2,,1,,2,,"MARYLAND
(39.290443, -76.612333)",
GEORGIA,2017,14,451,,1030,,1228,,2408,,14986,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
IOWA,2017,14,62,,248,,302,,3327,,3474,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2017,14,451,,390,,714,,5197,,3128,,,-,0,,1,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
NEW YORK,2017,14,844,,823,,1972,,11134,,10457,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
TENNESSEE,2017,14,227,,647,,894,,8416,,8754,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
VERMONT,2017,14,8,,24,,98,,358,,527,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
ALABAMA,2017,14,,-,501,,735,,6157,,7138,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MISSISSIPPI,2017,14,367,,338,,709,,3127,,5340,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
INDIANA,2017,14,339,,597,,763,,8552,,8629,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
DIST. OF COL.,2017,14,,-,142,,294,,673,,2262,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TEXAS,2017,14,2789,,2847,,4058,,41093,,39319,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
ILLINOIS,2017,14,51,,1323,,1458,,10474,,19766,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
OKLAHOMA,2017,14,50,,278,,339,,3171,,4472,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MONTANA,2017,14,,-,82,,158,,1106,,1300,,,-,0,,2,,2,,4,,"MONTANA
(47.062617, -109.430168)",
VIRGIN ISL.,2017,14,,-,8,,28,,46,,195,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WASHINGTON,2017,14,456,,573,,818,,6820,,8582,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2017,14,848,,1107,,2005,,21173,,15866,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
RHODE ISLAND,2017,14,,-,68,,496,,591,,,-,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OREGON,2017,14,332,,336,,440,,4880,,4907,,,-,0,,2,,3,,4,,"OREGON
(44.567912, -120.156945)",
GUAM,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
KANSAS,2017,14,53,,240,,298,,3196,,3356,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
NEW JERSEY,2017,14,262,,603,,722,,8541,,9498,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
LOUISIANA,2017,14,860,,673,,1983,,10390,,6763,,,-,0,,3,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
WEST VIRGINIA,2017,14,,-,90,,128,,962,,1335,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
MAINE,2017,14,77,,84,,157,,1303,,1051,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2017,14,219,,272,,508,,2784,,3955,,,-,0,,1,,1,,,-,"ARKANSAS
(34.748745, -92.275105)",
WYOMING,2017,14,24,,34,,55,,417,,586,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
HAWAII,2017,14,7,,133,,179,,1575,,1742,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
NEW MEXICO,2017,14,61,,240,,396,,3033,,3552,,,-,0,,2,,,-,7,,"NEW MEXICO
(34.520396, -106.244402)",
DELAWARE,2017,14,149,,102,,197,,1565,,1386,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
MINNESOTA,2017,14,2,,431,,524,,3390,,6104,,,-,1,,4,,,-,15,,"MINNESOTA
(46.357661, -94.793397)",
NEW HAMPSHIRE,2017,14,,-,88,,218,,1741,,1899,,,-,0,,1,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
UNITED STATES,2017,15,12684,,30036,,32700,,386835,,453793,,103,,206,,368,,2313,,3000,,,
NEW ENGLAND,2017,15,74,,1043,,1428,,13521,,15193,,,-,0,,1,,,-,1,,,
MID. ATLANTIC,2017,15,1969,,3877,,5089,,62869,,58001,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,15,16,,1317,,1585,,19353,,19445,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,15,544,,4445,,5177,,51664,,69712,,,-,1,,3,,10,,29,,,
W.N. CENTRAL,2017,15,262,,1828,,2068,,22645,,27663,,,-,1,,8,,8,,29,,,
S. ATLANTIC,2017,15,2210,,5636,,7240,,55079,,91261,,2,,0,,2,,3,,5,,,
E.S. CENTRAL,2017,15,454,,1850,,2486,,23335,,26636,,,-,0,,1,,1,,,-,,
W.S. CENTRAL,2017,15,2921,,3983,,5432,,60735,,58913,,,-,0,,3,,2,,4,,,
MOUNTAIN,2017,15,1563,,2080,,2698,,28059,,30661,,95,,115,,159,,1646,,1903,,,
PACIFIC,2017,15,2687,,4998,,5727,,68928,,75753,,6,,81,,228,,643,,1029,,,
AMER. SAMOA,2017,15,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
SOUTH CAROLINA,2017,15,481,,583,,789,,8862,,8850,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
OREGON,2017,15,376,,336,,440,,5255,,5234,,,-,0,,2,,3,,6,,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2017,15,26,,436,,524,,4511,,6585,,,-,1,,4,,,-,18,,"MINNESOTA
(46.357661, -94.793397)",
INDIANA,2017,15,280,,598,,763,,9097,,9290,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
TEXAS,2017,15,2029,,2844,,4058,,43215,,42436,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
NORTH CAROLINA,2017,15,,-,1083,,1239,,7867,,16772,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2017,15,11,,1162,,1275,,14866,,18181,,,-,0,,2,,5,,9,,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2017,15,81,,131,,481,,2184,,1439,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
GEORGIA,2017,15,411,,1030,,1228,,3351,,16078,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
NEW JERSEY,2017,15,239,,598,,722,,9145,,10138,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
VIRGIN ISL.,2017,15,,-,8,,20,,46,,212,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
IDAHO,2017,15,,-,106,,164,,1053,,1903,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
SOUTH DAKOTA,2017,15,,-,77,,104,,652,,1342,,,N,0,,1,,,N,,N,"SOUTH DAKOTA
(44.35371, -100.373709)",
DIST. OF COL.,2017,15,,-,138,,294,,673,,2439,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MASSACHUSETTS,2017,15,,-,525,,611,,7209,,7776,,,N,0,,0,,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSISSIPPI,2017,15,,-,338,,709,,3127,,5704,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
OKLAHOMA,2017,15,52,,275,,339,,3428,,4772,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NEVADA,2017,15,85,,272,,433,,3461,,4037,,3,,2,,5,,38,,22,,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2017,15,33,,1310,,1458,,11498,,21152,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NORTH DAKOTA,2017,15,9,,61,,78,,626,,1110,,,-,0,,1,,1,,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
KENTUCKY,2017,15,257,,390,,714,,5438,,3737,,,-,0,,1,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
PENNSYLVANIA,2017,15,796,,1115,,2005,,22324,,17123,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
C.N.M.I.,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MAINE,2017,15,,-,83,,157,,1303,,1151,,,N,0,,0,,,N,,N,"MAINE
(45.252223, -68.986647)",
ALASKA,2017,15,,-,98,,142,,53,,1645,,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MARYLAND,2017,15,319,,559,,1340,,6162,,7446,,2,,0,,2,,3,,4,,"MARYLAND
(39.290443, -76.612333)",
ARKANSAS,2017,15,168,,273,,507,,3195,,4209,,,-,0,,1,,1,,,-,"ARKANSAS
(34.748745, -92.275105)",
RHODE ISLAND,2017,15,,-,68,,496,,591,,2,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WEST VIRGINIA,2017,15,38,,91,,130,,1220,,1480,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
WYOMING,2017,15,22,,33,,55,,453,,628,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
KANSAS,2017,15,18,,243,,298,,3432,,3564,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
VERMONT,2017,15,,-,24,,98,,358,,551,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2017,15,197,,639,,894,,8613,,9402,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
MONTANA,2017,15,,-,82,,158,,1106,,1390,,,-,0,,2,,2,,5,,"MONTANA
(47.062617, -109.430168)",
HAWAII,2017,15,1,,132,,179,,1655,,1876,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2017,15,,-,501,,735,,6157,,7793,,,N,0,,0,,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MICHIGAN,2017,15,220,,864,,1116,,9798,,13228,,,-,0,,3,,5,,13,,"MICHIGAN
(44.66399, -84.711206)",
DELAWARE,2017,15,102,,102,,197,,1667,,1477,,,-,0,,1,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
VIRGINIA,2017,15,,-,0,,1319,,,-,10075,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
CONNECTICUT,2017,15,2,,256,,459,,2178,,3662,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2017,15,38,,240,,394,,3215,,3750,,,-,0,,2,,,-,7,,"NEW MEXICO
(34.520396, -106.244402)",
UTAH,2017,15,138,,183,,231,,2946,,2833,,,-,1,,3,,7,,7,,"UTAH
(39.359772, -111.584173)",
LOUISIANA,2017,15,672,,686,,1983,,10897,,7496,,,-,0,,3,,1,,4,,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2017,15,918,,823,,1972,,12047,,11295,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
CALIFORNIA,2017,15,1819,,3854,,4384,,54654,,57843,,6,,80,,228,,640,,1023,,"CALIFORNIA
(37.640735, -121.002435)",
MISSOURI,2017,15,209,,593,,750,,7953,,8915,,,-,0,,2,,5,,5,,"MISSOURI
(38.636168, -92.566292)",
NEBRASKA,2017,15,,-,152,,274,,2144,,2424,,,-,0,,1,,2,,3,,"NEBRASKA
(41.640503, -99.367122)",
IOWA,2017,15,,-,245,,302,,3327,,3723,,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
ARIZONA,2017,15,757,,655,,1091,,9150,,9322,,92,,113,,155,,1599,,1862,,"ARIZONA
(34.869712, -111.760902)",
FLORIDA,2017,15,859,,1785,,2767,,25277,,26644,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
GUAM,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2017,15,491,,573,,818,,7311,,9155,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
WISCONSIN,2017,15,,-,495,,627,,6405,,7861,,,-,0,,2,,,-,7,,"WISCONSIN
(44.395526, -89.834513)",
COLORADO,2017,15,523,,488,,1192,,6675,,6798,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
NEW HAMPSHIRE,2017,15,72,,80,,201,,1882,,2051,,,-,0,,1,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
