Reporting Area,MMWR Year,MMWR Week,"Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Current week","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Current week, flag ","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Med","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Med, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Max","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Max, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2017","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2017, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2016","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2016, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Current week","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Current week, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Med","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Med, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Max","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Max, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2017","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2017, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2016","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2016, flag",Location 1,Location 2
SOUTH DAKOTA,2017,12,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2017,12,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
VIRGINIA,2017,12,,-,0,,5,,1,,1,,,-,0,,1,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW HAMPSHIRE,2017,12,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALASKA,2017,12,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2017,12,,-,0,,3,,1,,2,,,-,0,,2,,2,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WYOMING,2017,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MISSOURI,2017,12,,-,0,,1,,,-,2,,,-,0,,1,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
NEBRASKA,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
RHODE ISLAND,2017,12,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2017,12,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
ARKANSAS,2017,12,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
UNITED STATES,2017,13,8,,17,,74,,104,,105,,,-,0,,7,,33,,5,,,
NEW ENGLAND,2017,13,1,,1,,14,,4,,10,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,13,1,,2,,11,,11,,3,,,-,0,,2,,2,,4,,,
NEW YORK CITY,2017,13,,-,0,,3,,2,,1,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,13,,-,1,,5,,3,,10,,,-,0,,2,,6,,,-,,
W.N. CENTRAL,2017,13,,-,0,,2,,1,,4,,,-,0,,2,,3,,,-,,
S. ATLANTIC,2017,13,6,,7,,20,,50,,28,,,-,0,,2,,11,,1,,,
E.S. CENTRAL,2017,13,,-,1,,5,,2,,9,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,13,,-,2,,14,,8,,11,,,-,0,,3,,5,,,-,,
MOUNTAIN,2017,13,,-,1,,4,,5,,4,,,-,0,,2,,6,,,-,,
PACIFIC,2017,13,,-,3,,22,,20,,26,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
KENTUCKY,2017,13,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2017,13,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
HAWAII,2017,13,,-,0,,3,,6,,4,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW MEXICO,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
VIRGINIA,2017,13,1,,0,,5,,2,,1,,,-,0,,1,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
PUERTO RICO,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH DAKOTA,2017,13,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2017,13,,-,0,,3,,,-,5,,,-,0,,1,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2017,13,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
MISSISSIPPI,2017,13,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MONTANA,2017,13,,-,0,,1,,2,,,-,,-,0,,1,,1,,,-,"MONTANA
(47.062617, -109.430168)",
KANSAS,2017,13,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ALABAMA,2017,13,,-,0,,4,,1,,3,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MAINE,2017,13,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ALASKA,2017,13,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2017,13,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2017,13,,-,0,,3,,3,,4,,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
LOUISIANA,2017,13,,-,0,,4,,3,,5,,,-,0,,1,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
OHIO,2017,13,,-,0,,2,,3,,,-,,-,0,,1,,2,,,-,"OHIO
(40.056807, -82.405897)",
MICHIGAN,2017,13,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
GUAM,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
FLORIDA,2017,13,5,,4,,10,,43,,18,,,-,0,,2,,7,,,-,"FLORIDA
(28.915325, -81.922409)",
CALIFORNIA,2017,13,,-,1,,11,,11,,18,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
PENNSYLVANIA,2017,13,,-,0,,7,,3,,,-,,-,0,,2,,2,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
OKLAHOMA,2017,13,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MARYLAND,2017,13,,-,1,,7,,3,,,-,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
GEORGIA,2017,13,,-,0,,3,,1,,4,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
TENNESSEE,2017,13,,-,0,,1,,1,,3,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WYOMING,2017,13,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW HAMPSHIRE,2017,13,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DIST. OF COL.,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
UTAH,2017,13,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
MASSACHUSETTS,2017,13,,-,0,,7,,1,,7,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH CAROLINA,2017,13,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
VERMONT,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ARKANSAS,2017,13,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MISSOURI,2017,13,,-,0,,1,,1,,2,,,-,0,,1,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
INDIANA,2017,13,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2017,13,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NORTH CAROLINA,2017,13,,-,0,,3,,1,,2,,,-,0,,2,,2,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW JERSEY,2017,13,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2017,13,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
VIRGIN ISL.,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WEST VIRGINIA,2017,13,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MINNESOTA,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TEXAS,2017,13,,-,1,,10,,5,,6,,,-,0,,3,,4,,,-,"TEXAS
(31.827233, -99.423022)",
DELAWARE,2017,13,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
IDAHO,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
COLORADO,2017,13,,-,0,,2,,2,,2,,,-,0,,1,,3,,,-,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2017,13,,-,0,,3,,,-,1,,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
NEW YORK,2017,13,1,,1,,5,,6,,1,,,-,0,,0,,,-,4,,"NEW YORK
(42.826892, -75.544286)",
RHODE ISLAND,2017,13,1,,0,,3,,1,,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
C.N.M.I.,2017,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WISCONSIN,2017,13,,-,0,,1,,,-,2,,,-,0,,1,,2,,,-,"WISCONSIN
(44.395526, -89.834513)",
IOWA,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
UNITED STATES,2017,14,3,,17,,73,,114,,114,,1,,0,,7,,39,,5,,,
NEW ENGLAND,2017,14,,-,1,,13,,6,,10,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,14,,-,2,,11,,12,,5,,,-,0,,2,,2,,4,,,
NEW YORK CITY,2017,14,,-,0,,3,,2,,1,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,14,,-,1,,5,,4,,12,,,-,0,,2,,6,,,-,,
W.N. CENTRAL,2017,14,,-,0,,2,,1,,4,,,-,0,,2,,4,,,-,,
S. ATLANTIC,2017,14,2,,7,,20,,53,,31,,,-,0,,2,,13,,1,,,
E.S. CENTRAL,2017,14,,-,1,,5,,3,,9,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,14,1,,2,,14,,10,,11,,1,,0,,3,,7,,,-,,
MOUNTAIN,2017,14,,-,1,,4,,5,,5,,,-,0,,2,,6,,,-,,
PACIFIC,2017,14,,-,3,,22,,20,,27,,,-,0,,1,,1,,,-,,
AMER. SAMOA,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
WASHINGTON,2017,14,,-,0,,16,,,-,1,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
HAWAII,2017,14,,-,0,,3,,6,,4,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NORTH CAROLINA,2017,14,,-,0,,3,,1,,2,,,-,0,,2,,4,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
GUAM,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UTAH,2017,14,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
TEXAS,2017,14,1,,2,,10,,7,,6,,1,,0,,3,,6,,,-,"TEXAS
(31.827233, -99.423022)",
OREGON,2017,14,,-,0,,3,,3,,4,,,-,0,,1,,1,,,-,"OREGON
(44.567912, -120.156945)",
MISSOURI,2017,14,,-,0,,1,,1,,2,,,-,0,,1,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
NEBRASKA,2017,14,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
MINNESOTA,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
RHODE ISLAND,2017,14,,-,0,,3,,1,,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MONTANA,2017,14,,-,0,,1,,2,,,-,,-,0,,1,,1,,,-,"MONTANA
(47.062617, -109.430168)",
KANSAS,2017,14,,-,0,,2,,,-,,-,,-,0,,1,,1,,,-,"KANSAS
(38.345528, -98.201847)",
WYOMING,2017,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH CAROLINA,2017,14,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARKANSAS,2017,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
C.N.M.I.,2017,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MAINE,2017,14,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW MEXICO,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2017,14,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
FLORIDA,2017,14,2,,4,,10,,46,,18,,,-,0,,2,,7,,,-,"FLORIDA
(28.915325, -81.922409)",
DIST. OF COL.,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WISCONSIN,2017,14,,-,0,,1,,,-,2,,,-,0,,1,,2,,,-,"WISCONSIN
(44.395526, -89.834513)",
CALIFORNIA,2017,14,,-,1,,11,,11,,18,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ARIZONA,2017,14,,-,0,,3,,,-,1,,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
ALABAMA,2017,14,,-,0,,4,,2,,3,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
LOUISIANA,2017,14,,-,0,,4,,3,,5,,,-,0,,1,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
WEST VIRGINIA,2017,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OHIO,2017,14,,-,0,,2,,3,,1,,,-,0,,1,,2,,,-,"OHIO
(40.056807, -82.405897)",
SOUTH DAKOTA,2017,14,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
TENNESSEE,2017,14,,-,0,,1,,1,,3,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
GEORGIA,2017,14,,-,0,,3,,1,,5,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
VIRGINIA,2017,14,,-,0,,5,,2,,2,,,-,0,,1,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
MICHIGAN,2017,14,,-,0,,1,,1,,2,,,-,0,,1,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
MARYLAND,2017,14,,-,1,,7,,3,,,-,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
NORTH DAKOTA,2017,14,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGIN ISL.,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
IOWA,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEW YORK,2017,14,,-,1,,5,,7,,1,,,-,0,,0,,,-,4,,"NEW YORK
(42.826892, -75.544286)",
PENNSYLVANIA,2017,14,,-,0,,7,,3,,2,,,-,0,,2,,2,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2017,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
KENTUCKY,2017,14,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
CONNECTICUT,2017,14,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
PUERTO RICO,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2017,14,,-,0,,2,,2,,3,,,-,0,,1,,3,,,-,"COLORADO
(38.841772, -106.132562)",
NEW JERSEY,2017,14,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2017,14,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MASSACHUSETTS,2017,14,,-,0,,7,,3,,7,,,-,0,,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2017,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
DELAWARE,2017,14,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ALASKA,2017,14,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
VERMONT,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ILLINOIS,2017,14,,-,0,,3,,,-,5,,,-,0,,1,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
INDIANA,2017,14,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
UNITED STATES,2017,15,4,,17,,73,,99,,128,,1,,1,,6,,35,,5,,,
NEW ENGLAND,2017,15,,-,1,,13,,6,,10,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,15,,-,2,,11,,12,,7,,,-,0,,2,,2,,4,,,
NEW YORK CITY,2017,15,,-,0,,3,,2,,1,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,15,,-,1,,5,,4,,15,,,-,0,,2,,6,,,-,,
W.N. CENTRAL,2017,15,,-,0,,2,,1,,5,,,-,0,,2,,4,,,-,,
S. ATLANTIC,2017,15,,-,7,,20,,27,,34,,,-,0,,2,,7,,1,,,
E.S. CENTRAL,2017,15,,-,1,,5,,6,,10,,1,,0,,1,,1,,,-,,
W.S. CENTRAL,2017,15,2,,2,,14,,12,,14,,,-,0,,3,,7,,,-,,
MOUNTAIN,2017,15,1,,1,,4,,6,,5,,,-,0,,2,,6,,,-,,
PACIFIC,2017,15,1,,3,,22,,25,,28,,,-,0,,1,,2,,,-,,
AMER. SAMOA,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
RHODE ISLAND,2017,15,,-,0,,3,,1,,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DIST. OF COL.,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MASSACHUSETTS,2017,15,,-,0,,7,,3,,7,,,-,0,,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WEST VIRGINIA,2017,15,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
GEORGIA,2017,15,,-,0,,3,,1,,6,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW MEXICO,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
OREGON,2017,15,1,,0,,3,,4,,4,,,-,0,,1,,2,,,-,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WASHINGTON,2017,15,,-,0,,16,,,-,1,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
DELAWARE,2017,15,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
IOWA,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEW HAMPSHIRE,2017,15,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALABAMA,2017,15,,-,0,,4,,2,,3,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MICHIGAN,2017,15,,-,0,,1,,1,,3,,,-,0,,1,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
IDAHO,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MONTANA,2017,15,,-,0,,1,,2,,,-,,-,0,,1,,1,,,-,"MONTANA
(47.062617, -109.430168)",
KENTUCKY,2017,15,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ARIZONA,2017,15,,-,0,,3,,,-,1,,,-,0,,1,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
UTAH,2017,15,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
OHIO,2017,15,,-,0,,2,,3,,2,,,-,0,,1,,2,,,-,"OHIO
(40.056807, -82.405897)",
NORTH CAROLINA,2017,15,,-,0,,3,,1,,2,,,-,0,,2,,4,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
GUAM,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGIN ISL.,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CALIFORNIA,2017,15,,-,1,,11,,14,,18,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEW JERSEY,2017,15,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
MARYLAND,2017,15,,-,1,,7,,3,,,-,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
COLORADO,2017,15,,-,0,,2,,2,,3,,,-,0,,1,,3,,,-,"COLORADO
(38.841772, -106.132562)",
KANSAS,2017,15,,-,0,,2,,,-,2,,,-,0,,1,,1,,,-,"KANSAS
(38.345528, -98.201847)",
HAWAII,2017,15,,-,0,,3,,7,,5,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
INDIANA,2017,15,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2017,15,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
SOUTH CAROLINA,2017,15,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSOURI,2017,15,,-,0,,1,,1,,2,,,-,0,,1,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
NEVADA,2017,15,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MISSISSIPPI,2017,15,,-,0,,2,,3,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
TENNESSEE,2017,15,,-,0,,1,,1,,4,,1,,0,,1,,1,,,-,"TENNESSEE
(35.681402, -85.774444)",
FLORIDA,2017,15,,-,3,,10,,20,,20,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2017,15,,-,0,,3,,,-,5,,,-,0,,1,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2017,15,1,,0,,4,,4,,7,,,-,0,,1,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
PENNSYLVANIA,2017,15,,-,0,,7,,3,,4,,,-,0,,2,,2,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2017,15,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
C.N.M.I.,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OKLAHOMA,2017,15,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEBRASKA,2017,15,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
