Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis§, Confirmed, Current week","Spotted Fever Rickettsiosis§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis§, Probable, Current week","Spotted Fever Rickettsiosis§, Probable, Current week, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2017","Spotted Fever Rickettsiosis§, Probable, Cum 2017, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2016","Spotted Fever Rickettsiosis§, Probable, Cum 2016, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2017","Syphilis, primary and secondary, Cum 2017, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag",Location 1,Location 2
MICHIGAN,2017,10,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,6,,12,,13,,66,,"MICHIGAN
(44.66399, -84.711206)",
INDIANA,2017,10,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,1,,6,,12,,42,,74,,"INDIANA
(39.76845, -86.156212)",
ARIZONA,2017,10,,-,0,,2,,1,,,-,,-,0,,1,,3,,1,,1,,13,,23,,74,,119,,"ARIZONA
(34.869712, -111.760902)",
NORTH CAROLINA,2017,10,,-,0,,2,,,-,,-,,-,7,,29,,1,,13,,,-,19,,28,,79,,221,,"NORTH CAROLINA
(35.47995, -79.180571)",
MASSACHUSETTS,2017,10,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,8,,21,,59,,103,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
PUERTO RICO,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,19,,59,,125,,"PUERTO RICO
(18.215692, -66.414655)",
IOWA,2017,10,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,8,,15,,"IOWA
(42.46942, -93.815856)",
NORTH DAKOTA,2017,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,2,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
UNITED STATES,2017,11,,-,3,,11,,4,,12,,4,,59,,219,,118,,129,,60,,513,,624,,3371,,5837,,,
NEW ENGLAND,2017,11,,-,0,,0,,,-,,-,,-,0,,2,,2,,,-,1,,13,,29,,107,,195,,,
MID. ATLANTIC,2017,11,,-,0,,1,,,-,,-,,-,2,,13,,14,,11,,9,,72,,104,,512,,766,,,
NEW YORK CITY,2017,11,,-,0,,0,,,-,,-,,-,0,,3,,1,,3,,1,,34,,49,,244,,391,,,
E.N. CENTRAL,2017,11,,-,0,,2,,,-,,-,,-,2,,15,,1,,5,,1,,50,,68,,186,,612,,,
W.N. CENTRAL,2017,11,,-,0,,2,,,-,1,,,-,7,,28,,4,,8,,2,,18,,29,,148,,234,,,
S. ATLANTIC,2017,11,,-,1,,10,,3,,8,,2,,16,,44,,28,,31,,2,,109,,162,,583,,1384,,,
E.S. CENTRAL,2017,11,,-,0,,4,,,-,2,,1,,21,,66,,45,,51,,2,,23,,38,,149,,241,,,
W.S. CENTRAL,2017,11,,-,0,,1,,,-,,-,1,,11,,80,,21,,18,,37,,56,,71,,536,,650,,,
MOUNTAIN,2017,11,,-,0,,2,,1,,1,,,-,0,,3,,3,,2,,1,,31,,56,,238,,341,,,
PACIFIC,2017,11,,-,0,,1,,,-,,-,,-,0,,3,,,-,3,,5,,127,,165,,912,,1414,,,
AMER. SAMOA,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
UTAH,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,10,,23,,"UTAH
(39.359772, -111.584173)",
GUAM,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEBRASKA,2017,11,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,5,,4,,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2017,11,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,6,,12,,16,,76,,"MICHIGAN
(44.66399, -84.711206)",
VIRGINIA,2017,11,,-,0,,1,,,-,,-,1,,5,,19,,3,,10,,,-,0,,41,,,-,64,,"VIRGINIA
(37.542699, -78.45822)",
MARYLAND,2017,11,,-,0,,2,,1,,,-,,-,1,,5,,5,,,-,,-,9,,15,,58,,113,,"MARYLAND
(39.290443, -76.612333)",
NEW JERSEY,2017,11,,-,0,,1,,,-,,-,,-,1,,8,,6,,3,,,-,7,,16,,34,,95,,"NEW JERSEY
(40.104655, -74.386686)",
MINNESOTA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,44,,84,,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,10,,20,,"HAWAII
(21.30992, -157.858158)",
LOUISIANA,2017,11,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,3,,12,,30,,83,,136,,"LOUISIANA
(31.2931, -92.463284)",
FLORIDA,2017,11,,-,0,,1,,1,,,-,1,,0,,2,,4,,1,,2,,47,,66,,380,,464,,"FLORIDA
(28.915325, -81.922409)",
ALABAMA,2017,11,,-,0,,1,,,-,,-,,-,7,,24,,20,,22,,1,,7,,14,,55,,64,,"ALABAMA
(32.839182, -86.631125)",
GEORGIA,2017,11,,-,1,,8,,1,,8,,,-,0,,0,,,-,,-,,-,20,,41,,,-,368,,"GEORGIA
(32.836038, -83.631709)",
NORTH DAKOTA,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,2,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,9,,23,,69,,103,,"WASHINGTON
(47.517368, -120.467672)",
TEXAS,2017,11,,-,0,,1,,,-,,-,1,,1,,7,,7,,3,,33,,38,,55,,423,,412,,"TEXAS
(31.827233, -99.423022)",
ALASKA,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
PENNSYLVANIA,2017,11,,-,0,,1,,,-,,-,,-,0,,6,,6,,4,,2,,21,,39,,140,,204,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW MEXICO,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,11,,21,,48,,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2017,11,,-,0,,2,,1,,1,,,-,0,,1,,3,,2,,1,,13,,23,,87,,126,,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2017,11,,-,0,,2,,,-,1,,1,,2,,11,,11,,10,,,-,3,,10,,21,,38,,"KENTUCKY
(37.64591, -84.774043)",
CALIFORNIA,2017,11,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,,-,107,,153,,779,,1215,,"CALIFORNIA
(37.640735, -121.002435)",
ARKANSAS,2017,11,,-,0,,1,,,-,,-,,-,8,,75,,13,,15,,1,,2,,11,,23,,31,,"ARKANSAS
(34.748745, -92.275105)",
OREGON,2017,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,3,,6,,15,,54,,76,,"OREGON
(44.567912, -120.156945)",
IOWA,2017,11,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,10,,17,,"IOWA
(42.46942, -93.815856)",
DELAWARE,2017,11,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,,-,0,,7,,2,,18,,"DELAWARE
(39.008676, -75.574561)",
C.N.M.I.,2017,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MAINE,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,4,,11,,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2017,11,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,1,,4,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEVADA,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,8,,25,,74,,73,,"NEVADA
(39.491833, -117.070159)",
CONNECTICUT,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,7,,10,,35,,"CONNECTICUT
(41.544654, -72.651713)",
VIRGIN ISL.,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WYOMING,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"WYOMING
(43.23558, -108.110518)",
RHODE ISLAND,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,18,,,-,21,,"RHODE ISLAND
(41.707447, -71.522488)",
MISSISSIPPI,2017,11,,-,0,,0,,,-,,-,,-,1,,7,,3,,6,,,-,6,,15,,34,,48,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK,2017,11,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,6,,10,,29,,94,,76,,"NEW YORK
(42.826892, -75.544286)",
OKLAHOMA,2017,11,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,2,,9,,7,,71,,"OKLAHOMA
(35.468494, -97.521264)",
MONTANA,2017,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,5,,"MONTANA
(47.062617, -109.430168)",
MISSOURI,2017,11,,-,0,,1,,,-,,-,,-,5,,22,,4,,6,,1,,7,,14,,62,,95,,"MISSOURI
(38.636168, -92.566292)",
OHIO,2017,11,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,13,,22,,92,,166,,"OHIO
(40.056807, -82.405897)",
WISCONSIN,2017,11,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,,-,2,,6,,20,,35,,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2017,11,,-,0,,1,,,-,1,,,-,10,,40,,11,,13,,1,,7,,13,,39,,91,,"TENNESSEE
(35.681402, -85.774444)",
IDAHO,2017,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,16,,"IDAHO
(43.680635, -114.364237)",
DIST. OF COL.,2017,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,2,,20,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
INDIANA,2017,11,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,1,,6,,12,,51,,82,,"INDIANA
(39.76845, -86.156212)",
KANSAS,2017,11,,-,0,,1,,,-,1,,,-,1,,10,,,-,2,,1,,2,,6,,24,,25,,"KANSAS
(38.345528, -98.201847)",
MASSACHUSETTS,2017,11,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,8,,21,,79,,110,,"MASSACHUSETTS
(42.268546, -72.085064)",
ILLINOIS,2017,11,,-,0,,1,,,-,,-,,-,1,,7,,1,,2,,,-,23,,39,,7,,253,,"ILLINOIS
(40.477092, -88.993221)",
PUERTO RICO,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,19,,59,,135,,"PUERTO RICO
(18.215692, -66.414655)",
VERMONT,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,2,,5,,"VERMONT
(43.622479, -72.51927)",
NORTH CAROLINA,2017,11,,-,0,,2,,,-,,-,,-,7,,29,,10,,15,,,-,19,,28,,81,,241,,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,4,,14,,44,,50,,"COLORADO
(38.841772, -106.132562)",
SOUTH CAROLINA,2017,11,,-,0,,1,,,-,,-,,-,1,,5,,6,,2,,,-,5,,13,,54,,82,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW HAMPSHIRE,2017,11,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,11,,12,,13,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WEST VIRGINIA,2017,11,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,6,,14,,"WEST VIRGINIA
(38.668501, -80.709421)",
UNITED STATES,2017,12,,-,2,,11,,7,,12,,3,,59,,219,,135,,157,,122,,508,,614,,4007,,6267,,,
NEW ENGLAND,2017,12,,-,0,,0,,,-,,-,,-,0,,2,,2,,,-,,-,14,,29,,145,,206,,,
MID. ATLANTIC,2017,12,,-,0,,1,,,-,,-,,-,2,,13,,14,,13,,20,,66,,89,,570,,786,,,
NEW YORK CITY,2017,12,,-,0,,0,,,-,,-,,-,0,,3,,1,,4,,1,,34,,49,,279,,433,,,
E.N. CENTRAL,2017,12,,-,0,,2,,,-,,-,,-,2,,15,,1,,8,,14,,49,,68,,242,,669,,,
W.N. CENTRAL,2017,12,,-,0,,2,,1,,1,,,-,7,,28,,7,,8,,4,,18,,29,,171,,250,,,
S. ATLANTIC,2017,12,,-,1,,10,,5,,8,,1,,15,,44,,31,,39,,5,,111,,162,,659,,1493,,,
E.S. CENTRAL,2017,12,,-,0,,4,,,-,2,,,-,21,,66,,48,,62,,7,,23,,38,,165,,265,,,
W.S. CENTRAL,2017,12,,-,0,,1,,,-,,-,2,,11,,80,,29,,22,,37,,56,,71,,596,,688,,,
MOUNTAIN,2017,12,,-,0,,2,,1,,1,,,-,0,,3,,3,,2,,,-,32,,57,,296,,372,,,
PACIFIC,2017,12,,-,0,,1,,,-,,-,,-,0,,3,,,-,3,,35,,127,,168,,1163,,1538,,,
AMER. SAMOA,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
CALIFORNIA,2017,12,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,23,,107,,156,,1013,,1320,,"CALIFORNIA
(37.640735, -121.002435)",
NEW JERSEY,2017,12,,-,0,,1,,,-,,-,,-,1,,8,,6,,3,,,-,7,,16,,38,,105,,"NEW JERSEY
(40.104655, -74.386686)",
KANSAS,2017,12,,-,0,,1,,,-,1,,,-,1,,10,,,-,2,,,-,2,,6,,26,,28,,"KANSAS
(38.345528, -98.201847)",
OHIO,2017,12,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,13,,22,,125,,180,,"OHIO
(40.056807, -82.405897)",
CONNECTICUT,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,10,,38,,"CONNECTICUT
(41.544654, -72.651713)",
ILLINOIS,2017,12,,-,0,,1,,,-,,-,,-,1,,7,,1,,3,,,-,22,,39,,7,,276,,"ILLINOIS
(40.477092, -88.993221)",
OKLAHOMA,2017,12,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,1,,9,,7,,73,,"OKLAHOMA
(35.468494, -97.521264)",
WISCONSIN,2017,12,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,14,,2,,6,,38,,37,,"WISCONSIN
(44.395526, -89.834513)",
IDAHO,2017,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,3,,9,,16,,"IDAHO
(43.680635, -114.364237)",
DELAWARE,2017,12,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,,-,0,,7,,3,,18,,"DELAWARE
(39.008676, -75.574561)",
ARIZONA,2017,12,,-,0,,2,,1,,1,,,-,0,,1,,3,,2,,,-,13,,23,,95,,141,,"ARIZONA
(34.869712, -111.760902)",
MINNESOTA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,53,,91,,"MINNESOTA
(46.357661, -94.793397)",
WASHINGTON,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,9,,23,,77,,115,,"WASHINGTON
(47.517368, -120.467672)",
NEBRASKA,2017,12,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,5,,4,,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2017,12,,-,0,,1,,,-,,-,,-,7,,24,,21,,25,,2,,7,,14,,61,,70,,"ALABAMA
(32.839182, -86.631125)",
IOWA,2017,12,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,14,,18,,"IOWA
(42.46942, -93.815856)",
WYOMING,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"WYOMING
(43.23558, -108.110518)",
TEXAS,2017,12,,-,0,,1,,,-,,-,,-,1,,7,,8,,3,,37,,39,,55,,464,,437,,"TEXAS
(31.827233, -99.423022)",
MAINE,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,5,,11,,"MAINE
(45.252223, -68.986647)",
VIRGIN ISL.,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
PENNSYLVANIA,2017,12,,-,0,,1,,,-,,-,,-,0,,6,,6,,4,,5,,15,,35,,145,,165,,"PENNSYLVANIA
(40.789676, -77.858055)",
TENNESSEE,2017,12,,-,0,,1,,,-,1,,,-,10,,40,,12,,16,,,-,7,,13,,39,,99,,"TENNESSEE
(35.681402, -85.774444)",
SOUTH DAKOTA,2017,12,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,2,,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,2,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
MICHIGAN,2017,12,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,5,,12,,19,,88,,"MICHIGAN
(44.66399, -84.711206)",
MASSACHUSETTS,2017,12,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,9,,22,,113,,117,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEVADA,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,9,,25,,90,,80,,"NEVADA
(39.491833, -117.070159)",
LOUISIANA,2017,12,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,,-,12,,30,,102,,143,,"LOUISIANA
(31.2931, -92.463284)",
KENTUCKY,2017,12,,-,0,,2,,,-,1,,,-,2,,11,,11,,11,,2,,3,,13,,23,,40,,"KENTUCKY
(37.64591, -84.774043)",
INDIANA,2017,12,,-,0,,0,,,-,,-,,-,0,,6,,,-,2,,,-,6,,12,,53,,88,,"INDIANA
(39.76845, -86.156212)",
PUERTO RICO,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,19,,74,,139,,"PUERTO RICO
(18.215692, -66.414655)",
UTAH,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,11,,26,,"UTAH
(39.359772, -111.584173)",
MISSOURI,2017,12,,-,0,,1,,1,,,-,,-,5,,22,,7,,6,,4,,7,,14,,69,,99,,"MISSOURI
(38.636168, -92.566292)",
WEST VIRGINIA,2017,12,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,9,,15,,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH CAROLINA,2017,12,,-,0,,2,,,-,,-,,-,7,,29,,11,,25,,,-,19,,28,,90,,265,,"NORTH CAROLINA
(35.47995, -79.180571)",
HAWAII,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,12,,22,,"HAWAII
(21.30992, -157.858158)",
MARYLAND,2017,12,,-,0,,1,,1,,,-,,-,0,,3,,5,,,-,,-,9,,15,,63,,127,,"MARYLAND
(39.290443, -76.612333)",
ARKANSAS,2017,12,,-,0,,1,,,-,,-,2,,8,,75,,20,,19,,,-,2,,11,,23,,35,,"ARKANSAS
(34.748745, -92.275105)",
NEW MEXICO,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,11,,29,,50,,"NEW MEXICO
(34.520396, -106.244402)",
VERMONT,2017,12,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,3,,5,,6,,"VERMONT
(43.622479, -72.51927)",
OREGON,2017,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,4,,6,,15,,61,,81,,"OREGON
(44.567912, -120.156945)",
COLORADO,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,4,,14,,51,,54,,"COLORADO
(38.841772, -106.132562)",
DIST. OF COL.,2017,12,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,-,2,,7,,2,,26,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
FLORIDA,2017,12,,-,0,,1,,1,,,-,1,,0,,2,,5,,1,,4,,46,,66,,426,,520,,"FLORIDA
(28.915325, -81.922409)",
MONTANA,2017,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,10,,5,,"MONTANA
(47.062617, -109.430168)",
SOUTH CAROLINA,2017,12,,-,0,,1,,,-,,-,,-,1,,5,,6,,2,,1,,5,,13,,66,,93,,"SOUTH CAROLINA
(34.009286, -81.037094)",
GUAM,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSISSIPPI,2017,12,,-,0,,0,,,-,,-,,-,1,,8,,4,,10,,3,,6,,15,,42,,56,,"MISSISSIPPI
(32.738663, -89.537312)",
GEORGIA,2017,12,,-,1,,8,,3,,8,,,-,0,,0,,,-,,-,,-,22,,41,,,-,353,,"GEORGIA
(32.836038, -83.631709)",
NEW YORK,2017,12,,-,0,,1,,,-,,-,,-,0,,2,,1,,2,,14,,10,,29,,108,,83,,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VIRGINIA,2017,12,,-,0,,1,,,-,,-,,-,5,,18,,3,,8,,,-,0,,41,,,-,76,,"VIRGINIA
(37.542699, -78.45822)",
NEW HAMPSHIRE,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,11,,12,,13,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
RHODE ISLAND,2017,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,18,,,-,21,,"RHODE ISLAND
(41.707447, -71.522488)",
UNITED STATES,2017,13,,-,2,,11,,8,,15,,12,,57,,218,,167,,190,,123,,502,,624,,4508,,6808,,,
NEW ENGLAND,2017,13,,-,0,,0,,,-,,-,1,,0,,3,,3,,1,,1,,14,,29,,159,,206,,,
MID. ATLANTIC,2017,13,,-,0,,1,,,-,,-,,-,1,,8,,15,,10,,23,,66,,92,,639,,852,,,
NEW YORK CITY,2017,13,,-,0,,0,,,-,,-,,-,0,,3,,1,,4,,3,,34,,49,,315,,472,,,
E.N. CENTRAL,2017,13,,-,0,,2,,,-,,-,,-,2,,15,,1,,11,,3,,49,,69,,272,,723,,,
W.N. CENTRAL,2017,13,,-,0,,2,,1,,1,,,-,7,,28,,10,,13,,2,,18,,29,,189,,266,,,
S. ATLANTIC,2017,13,,-,1,,10,,5,,10,,,-,15,,44,,35,,47,,7,,111,,162,,784,,1622,,,
E.S. CENTRAL,2017,13,,-,0,,4,,,-,2,,4,,21,,66,,60,,72,,5,,23,,38,,180,,301,,,
W.S. CENTRAL,2017,13,,-,0,,1,,,-,,-,7,,11,,80,,39,,31,,46,,56,,71,,670,,740,,,
MOUNTAIN,2017,13,,-,0,,2,,2,,2,,,-,0,,3,,3,,2,,,-,32,,57,,310,,403,,,
PACIFIC,2017,13,,-,0,,1,,,-,,-,,-,0,,3,,1,,3,,36,,128,,171,,1305,,1695,,,
AMER. SAMOA,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
NEW YORK,2017,13,,-,0,,1,,,-,,-,,-,0,,2,,1,,2,,11,,11,,27,,119,,94,,"NEW YORK
(42.826892, -75.544286)",
VIRGINIA,2017,13,,-,0,,1,,,-,,-,,-,5,,18,,4,,12,,,-,0,,41,,,-,83,,"VIRGINIA
(37.542699, -78.45822)",
ARIZONA,2017,13,,-,0,,2,,2,,2,,,-,0,,1,,3,,2,,,-,13,,23,,105,,150,,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2017,13,,-,0,,2,,,-,1,,2,,2,,11,,15,,13,,,-,3,,13,,23,,45,,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2017,13,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,9,,25,,90,,90,,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,11,,32,,52,,"NEW MEXICO
(34.520396, -106.244402)",
ALABAMA,2017,13,,-,0,,1,,,-,,-,2,,7,,24,,26,,28,,2,,7,,14,,66,,84,,"ALABAMA
(32.839182, -86.631125)",
SOUTH CAROLINA,2017,13,,-,0,,1,,,-,,-,,-,1,,5,,6,,2,,6,,5,,13,,75,,102,,"SOUTH CAROLINA
(34.009286, -81.037094)",
SOUTH DAKOTA,2017,13,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,2,,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEBRASKA,2017,13,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,5,,6,,"NEBRASKA
(41.640503, -99.367122)",
MAINE,2017,13,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,1,,4,,5,,12,,"MAINE
(45.252223, -68.986647)",
FLORIDA,2017,13,,-,0,,1,,1,,,-,,-,0,,2,,5,,1,,,-,46,,66,,485,,568,,"FLORIDA
(28.915325, -81.922409)",
PUERTO RICO,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,8,,19,,79,,158,,"PUERTO RICO
(18.215692, -66.414655)",
NEW HAMPSHIRE,2017,13,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,11,,13,,15,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
